Date,Hour,Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
2020-11-14,8,07:15 - 07:30,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34
2020-11-14,8,07:30 - 07:45,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94
2020-11-14,8,07:45 - 08:00,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42
2020-11-14,8,07:00 - 07:15,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19
2020-11-14,8,07:15 - 07:30,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34,2819.34
2020-11-14,8,07:30 - 07:45,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94,2909.94
2020-11-14,8,07:45 - 08:00,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42,2922.42
2020-11-14,9,08:00 - 08:15,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63
2020-11-14,9,08:15 - 08:30,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55
2020-11-14,9,08:30 - 08:45,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41
2020-11-14,9,08:45 - 09:00,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85
2020-11-14,9,08:00 - 08:15,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63,2922.63
2020-11-14,9,08:15 - 08:30,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55,2922.55
2020-11-14,9,08:30 - 08:45,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41,2922.41
2020-11-14,9,08:45 - 09:00,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85,2899.85
2020-11-14,10,09:00 - 09:15,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23
2020-11-14,10,09:15 - 09:30,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2
2020-11-14,10,09:30 - 09:45,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66
2020-11-14,10,09:45 - 10:00,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9
2020-11-14,10,09:00 - 09:15,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23,2779.23
2020-11-14,10,09:15 - 09:30,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2,2729.2
2020-11-14,10,09:30 - 09:45,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66,2724.66
2020-11-14,10,09:45 - 10:00,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9,2631.9
2020-11-14,11,10:00 - 10:15,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67
2020-11-14,11,10:15 - 10:30,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95
2020-11-14,11,10:30 - 10:45,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91
2020-11-14,11,10:45 - 11:00,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26
2020-11-14,11,10:00 - 10:15,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67,2399.67
2020-11-14,11,10:15 - 10:30,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95
2020-11-14,11,10:30 - 10:45,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91,2399.91
2020-11-14,11,10:45 - 11:00,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26,2399.26
2020-11-14,12,11:00 - 11:15,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27
2020-11-14,12,11:15 - 11:30,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38
2020-11-14,12,11:30 - 11:45,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18
2020-11-14,12,11:45 - 12:00,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41
2020-11-14,12,11:00 - 11:15,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27,2399.27
2020-11-14,12,11:15 - 11:30,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38
2020-11-14,12,11:30 - 11:45,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18,2399.18
2020-11-14,12,11:45 - 12:00,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41,2399.41
2020-11-14,13,12:00 - 12:15,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11
2020-11-14,13,12:15 - 12:30,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43
2020-11-14,13,12:30 - 12:45,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29
2020-11-14,13,12:45 - 13:00,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33
2020-11-14,13,12:00 - 12:15,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11,2249.11
2020-11-14,13,12:15 - 12:30,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43,2399.43
2020-11-14,13,12:30 - 12:45,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29,2399.29
2020-11-14,13,12:45 - 13:00,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33
2020-11-14,14,13:00 - 13:15,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37
2020-11-14,14,13:15 - 13:30,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33
2020-11-14,14,13:30 - 13:45,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94
2020-11-14,14,13:45 - 14:00,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96
2020-11-14,14,13:00 - 13:15,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37
2020-11-14,14,13:15 - 13:30,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33,2399.33
2020-11-14,14,13:30 - 13:45,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94,2249.94
2020-11-14,14,13:45 - 14:00,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96,2149.96
2020-11-14,15,14:00 - 14:15,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25
2020-11-14,15,14:15 - 14:30,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74
